Timestamp,Congestion Event,cwnd,sshthresh
2007-06-28 21:05:32.146465,,3,1
2007-06-28 21:05:32.146673,Retransmission,1,1
2007-06-28 21:05:32.148901,,2,1
2007-06-28 21:05:32.149923,,3,1
2007-06-28 21:05:32.150135,Retransmission,1,1
2007-06-28 21:05:32.153903,,2,1
2007-06-28 21:05:32.156330,,3,1
2007-06-28 21:05:32.156544,Retransmission,1,1
2007-06-28 21:05:32.157542,,2,1
2007-06-28 21:05:32.158903,,3,1
2007-06-28 21:05:32.159125,Retransmission,1,1
2007-06-28 21:05:32.161734,,2,1
2007-06-28 21:05:32.163084,,3,1
2007-06-28 21:05:32.163203,Retransmission,1,1
2007-06-28 21:05:32.164469,,2,1
2007-06-28 21:05:32.165813,,3,1
2007-06-28 21:05:32.166024,Retransmission,1,1
2007-06-28 21:05:32.169174,,2,1
2007-06-28 21:05:32.170529,,3,1
2007-06-28 21:05:32.170766,Retransmission,1,1
2007-06-28 21:05:32.172517,,2,1
2007-06-28 21:05:32.173852,,3,1
2007-06-28 21:05:32.174065,Retransmission,1,1
2007-06-28 21:05:32.181567,,2,1
2007-06-28 21:05:32.183701,,3,1
2007-06-28 21:05:32.183918,Retransmission,1,1
2007-06-28 21:05:32.184026,Retransmission,1,1
2007-06-28 21:05:32.185652,,2,1
2007-06-28 21:05:32.187698,,3,1
2007-06-28 21:05:32.187819,Retransmission,1,1
2007-06-28 21:05:32.190290,,2,1
2007-06-28 21:05:32.191635,,3,1
2007-06-28 21:05:32.191865,Retransmission,1,1
2007-06-28 21:05:32.192889,Retransmission,1,1
2007-06-28 21:05:32.193306,Retransmission,1,1
2007-06-28 21:05:32.194339,,2,1
2007-06-28 21:05:32.194563,Retransmission,1,1
2007-06-28 21:05:32.196394,,2,1
2007-06-28 21:05:32.197941,,3,1
2007-06-28 21:05:32.198152,Retransmission,1,1
2007-06-28 21:05:32.198954,,2,1
2007-06-28 21:05:32.199181,,3,1
2007-06-28 21:05:32.199772,Retransmission,1,1
2007-06-28 21:05:32.257838,Retransmission,1,1
2007-06-28 21:05:32.281698,,2,1
2007-06-28 21:05:32.399399,Triple Duplicate,1,1
2007-06-28 21:05:32.399773,Triple Duplicate,1,1
2007-06-28 21:05:32.400271,Triple Duplicate,1,1
2007-06-28 21:05:32.403148,Triple Duplicate,1,1
2007-06-28 21:05:32.407275,Triple Duplicate,1,1
2007-06-28 21:05:39.881031,Retransmission,1,1
2007-06-28 21:05:39.898088,Retransmission,1,1
2007-06-28 21:05:39.898449,Retransmission,1,1
2007-06-28 21:05:39.916424,Retransmission,1,1
2007-06-28 21:05:39.917047,Retransmission,1,1
2007-06-28 21:05:39.920287,,2,1
2007-06-28 21:05:39.920500,Triple Duplicate,1,1
2007-06-28 21:05:39.939779,,2,1
2007-06-28 21:05:39.941074,,3,1
2007-06-28 21:05:39.941529,Triple Duplicate,1,1
2007-06-28 21:05:39.941719,Retransmission,1,1
2007-06-28 21:05:39.942645,,2,1
2007-06-28 21:05:39.960383,,3,1
2007-06-28 21:05:39.962269,,4,1
2007-06-28 21:05:39.963116,,5,1
2007-06-28 21:05:39.963357,Retransmission,1,2
2007-06-28 21:05:39.963455,Retransmission,1,1
2007-06-28 21:05:39.963770,Triple Duplicate,1,1
2007-06-28 21:05:39.963993,Retransmission,1,1
2007-06-28 21:05:39.964641,Retransmission,1,1
2007-06-28 21:05:39.964851,Retransmission,1,1
2007-06-28 21:05:39.965345,Retransmission,1,1
2007-06-28 21:05:39.975642,Retransmission,1,1
2007-06-28 21:05:39.975884,Retransmission,1,1
2007-06-28 21:05:39.976088,Retransmission,1,1
2007-06-28 21:05:39.982185,,2,1
2007-06-28 21:05:39.982402,,3,1
2007-06-28 21:05:39.983018,Triple Duplicate,1,1
2007-06-28 21:05:39.983265,Triple Duplicate,1,1
2007-06-28 21:05:39.983376,Triple Duplicate,1,1
2007-06-28 21:05:39.983894,Triple Duplicate,1,1
2007-06-28 21:05:39.984116,Triple Duplicate,1,1
2007-06-28 21:05:39.987219,Retransmission,1,1
2007-06-28 21:05:39.988292,Retransmission,1,1
2007-06-28 21:05:39.990009,,2,1
2007-06-28 21:05:39.990224,Triple Duplicate,1,1
2007-06-28 21:05:39.995548,Retransmission,1,1
2007-06-28 21:05:39.998644,Retransmission,1,1
2007-06-28 21:05:39.999984,,2,1
2007-06-28 21:05:40.004336,,3,1
2007-06-28 21:05:40.009538,Triple Duplicate,1,1
2007-06-28 21:05:40.009903,Triple Duplicate,1,1
2007-06-28 21:05:40.010525,Triple Duplicate,1,1
2007-06-28 21:05:40.011023,Triple Duplicate,1,1
2007-06-28 21:05:40.011403,Triple Duplicate,1,1
2007-06-28 21:05:40.012105,Triple Duplicate,1,1
2007-06-28 21:05:40.012218,,2,1
2007-06-28 21:05:40.012931,Triple Duplicate,1,1
2007-06-28 21:05:40.014272,Triple Duplicate,1,1
2007-06-28 21:05:40.014481,Triple Duplicate,1,1
2007-06-28 21:05:40.017905,Triple Duplicate,1,1
2007-06-28 21:05:40.018393,Triple Duplicate,1,1
2007-06-28 21:05:40.018734,Triple Duplicate,1,1
2007-06-28 21:05:40.019266,Triple Duplicate,1,1
2007-06-28 21:05:40.020016,Triple Duplicate,1,1
2007-06-28 21:05:40.020701,Triple Duplicate,1,1
2007-06-28 21:05:40.020915,Retransmission,1,1
2007-06-28 21:05:40.028533,Retransmission,1,1
2007-06-28 21:05:40.029664,Retransmission,1,1
2007-06-28 21:05:40.030655,Retransmission,1,1
2007-06-28 21:05:40.036956,Retransmission,1,1
2007-06-28 21:05:40.037194,Retransmission,1,1
2007-06-28 21:05:40.049707,,2,1
2007-06-28 21:05:40.051164,Retransmission,1,1
2007-06-28 21:05:40.051409,Retransmission,1,1
2007-06-28 21:05:40.051617,Retransmission,1,1
2007-06-28 21:05:40.052270,Retransmission,1,1
2007-06-28 21:05:40.053270,Retransmission,1,1
2007-06-28 21:05:40.054406,Retransmission,1,1
2007-06-28 21:05:40.054772,Retransmission,1,1
2007-06-28 21:05:40.069335,Retransmission,1,1
2007-06-28 21:05:40.073468,,2,1
2007-06-28 21:05:40.073811,Retransmission,1,1
2007-06-28 21:05:40.074032,Retransmission,1,1
2007-06-28 21:05:40.074703,Retransmission,1,1
2007-06-28 21:05:40.075605,Retransmission,1,1
2007-06-28 21:05:40.079080,,2,1
2007-06-28 21:05:40.079332,Retransmission,1,1
2007-06-28 21:05:40.089613,,2,1
2007-06-28 21:05:40.094204,Retransmission,1,1
2007-06-28 21:05:40.094418,Retransmission,1,1
2007-06-28 21:05:40.094624,Retransmission,1,1
2007-06-28 21:05:40.100073,,2,1
2007-06-28 21:05:40.102264,,3,1
2007-06-28 21:05:40.102383,Retransmission,1,1
2007-06-28 21:05:40.102823,,2,1
2007-06-28 21:05:40.102960,Retransmission,1,1
2007-06-28 21:05:40.103645,Retransmission,1,1
2007-06-28 21:05:40.104012,Retransmission,1,1
2007-06-28 21:05:40.104263,Retransmission,1,1
2007-06-28 21:05:40.104469,Retransmission,1,1
2007-06-28 21:05:40.111158,Retransmission,1,1
2007-06-28 21:05:40.111650,Retransmission,1,1
2007-06-28 21:05:40.112023,Retransmission,1,1
2007-06-28 21:05:40.112651,Retransmission,1,1
2007-06-28 21:05:40.113022,Retransmission,1,1
2007-06-28 21:05:40.114047,,2,1
2007-06-28 21:05:40.114256,Retransmission,1,1
2007-06-28 21:05:40.123553,,2,1
2007-06-28 21:05:40.123697,Retransmission,1,1
2007-06-28 21:05:40.124427,,2,1
2007-06-28 21:05:40.125782,,3,1
2007-06-28 21:05:40.125904,Retransmission,1,1
2007-06-28 21:05:40.135652,,2,1
2007-06-28 21:05:40.136952,,3,1
2007-06-28 21:05:40.137072,Retransmission,1,1
2007-06-28 21:05:40.138147,,2,1
2007-06-28 21:05:40.142276,,3,1
2007-06-28 21:05:40.147783,,4,1
2007-06-28 21:05:40.148147,,5,1
2007-06-28 21:05:40.148367,Retransmission,1,2
2007-06-28 21:05:40.149257,,2,2
2007-06-28 21:05:40.149479,Retransmission,1,1
2007-06-28 21:05:40.150393,,2,1
2007-06-28 21:05:40.152041,,3,1
