Timestamp,Source IP,Destination IP,Source Port,Destination Port,Sequence,Ack Number,Window,Flags
2020-04-21 16:34:09.924138,192.168.10.184,192.168.10.196,52343,5201,10635242,1,4096,0x0010
2020-04-21 16:34:09.924138,192.168.10.184,192.168.10.196,52343,5201,10636702,1,4096,0x0010
2020-04-21 16:34:09.924139,192.168.10.184,192.168.10.196,52343,5201,10638162,1,4096,0x0010
2020-04-21 16:34:09.924139,192.168.10.184,192.168.10.196,52343,5201,10639622,1,4096,0x0010
2020-04-21 16:34:09.924139,192.168.10.184,192.168.10.196,52343,5201,10641082,1,4096,0x0010
2020-04-21 16:34:09.924140,192.168.10.184,192.168.10.196,52343,5201,10642542,1,4096,0x0010
2020-04-21 16:34:09.924140,192.168.10.184,192.168.10.196,52343,5201,10644002,1,4096,0x0010
2020-04-21 16:34:09.924140,192.168.10.184,192.168.10.196,52343,5201,10645462,1,4096,0x0010
2020-04-21 16:34:09.924141,192.168.10.184,192.168.10.196,52343,5201,10646922,1,4096,0x0010
2020-04-21 16:34:09.924141,192.168.10.184,192.168.10.196,52343,5201,10648382,1,4096,0x0010
2020-04-21 16:34:09.924141,192.168.10.184,192.168.10.196,52343,5201,10649842,1,4096,0x0010
2020-04-21 16:34:09.924141,192.168.10.184,192.168.10.196,52343,5201,10651302,1,4096,0x0010
2020-04-21 16:34:09.924142,192.168.10.184,192.168.10.196,52343,5201,10652762,1,4096,0x0010
2020-04-21 16:34:09.924142,192.168.10.184,192.168.10.196,52343,5201,10654222,1,4096,0x0010
2020-04-21 16:34:09.924142,192.168.10.184,192.168.10.196,52343,5201,10655682,1,4096,0x0010
2020-04-21 16:34:09.924173,192.168.10.184,192.168.10.196,52343,5201,10657142,1,4096,0x0010
2020-04-21 16:34:09.924173,192.168.10.184,192.168.10.196,52343,5201,10658602,1,4096,0x0010
2020-04-21 16:34:09.924173,192.168.10.184,192.168.10.196,52343,5201,10660062,1,4096,0x0010
2020-04-21 16:34:09.924174,192.168.10.184,192.168.10.196,52343,5201,10661522,1,4096,0x0010
2020-04-21 16:34:09.924174,192.168.10.184,192.168.10.196,52343,5201,10662982,1,4096,0x0010
2020-04-21 16:34:09.924174,192.168.10.184,192.168.10.196,52343,5201,10664442,1,4096,0x0010
2020-04-21 16:34:09.924175,192.168.10.184,192.168.10.196,52343,5201,10665902,1,4096,0x0010
2020-04-21 16:34:09.924175,192.168.10.184,192.168.10.196,52343,5201,10667362,1,4096,0x0010
2020-04-21 16:34:09.924175,192.168.10.184,192.168.10.196,52343,5201,10668822,1,4096,0x0010
2020-04-21 16:34:09.924176,192.168.10.184,192.168.10.196,52343,5201,10670282,1,4096,0x0010
2020-04-21 16:34:09.924176,192.168.10.184,192.168.10.196,52343,5201,10671742,1,4096,0x0010
2020-04-21 16:34:09.924861,192.168.10.196,192.168.10.184,5201,52343,1,10464422,53248,0x0010
2020-04-21 16:34:09.924892,192.168.10.184,192.168.10.196,52343,5201,10673202,1,4096,0x0010
2020-04-21 16:34:09.924893,192.168.10.184,192.168.10.196,52343,5201,10674662,1,4096,0x0010
2020-04-21 16:34:09.926139,192.168.10.196,192.168.10.184,5201,52343,1,10506762,53248,0x0010
2020-04-21 16:34:09.926214,192.168.10.184,192.168.10.196,52343,5201,10676122,1,4096,0x0010
2020-04-21 16:34:09.926214,192.168.10.184,192.168.10.196,52343,5201,10677582,1,4096,0x0010
2020-04-21 16:34:09.926215,192.168.10.184,192.168.10.196,52343,5201,10679042,1,4096,0x0010
2020-04-21 16:34:09.926215,192.168.10.184,192.168.10.196,52343,5201,10680502,1,4096,0x0010
2020-04-21 16:34:09.926215,192.168.10.184,192.168.10.196,52343,5201,10681962,1,4096,0x0010
2020-04-21 16:34:09.926215,192.168.10.184,192.168.10.196,52343,5201,10683422,1,4096,0x0010
2020-04-21 16:34:09.926216,192.168.10.184,192.168.10.196,52343,5201,10684882,1,4096,0x0010
2020-04-21 16:34:09.926216,192.168.10.184,192.168.10.196,52343,5201,10686342,1,4096,0x0010
2020-04-21 16:34:09.926217,192.168.10.184,192.168.10.196,52343,5201,10687802,1,4096,0x0010
2020-04-21 16:34:09.926217,192.168.10.184,192.168.10.196,52343,5201,10689262,1,4096,0x0010
2020-04-21 16:34:09.926217,192.168.10.184,192.168.10.196,52343,5201,10690722,1,4096,0x0010
2020-04-21 16:34:09.926217,192.168.10.184,192.168.10.196,52343,5201,10692182,1,4096,0x0010
2020-04-21 16:34:09.926218,192.168.10.184,192.168.10.196,52343,5201,10693642,1,4096,0x0010
2020-04-21 16:34:09.926218,192.168.10.184,192.168.10.196,52343,5201,10695102,1,4096,0x0010
2020-04-21 16:34:09.926218,192.168.10.184,192.168.10.196,52343,5201,10696562,1,4096,0x0010
2020-04-21 16:34:09.926219,192.168.10.184,192.168.10.196,52343,5201,10698022,1,4096,0x0010
2020-04-21 16:34:09.926219,192.168.10.184,192.168.10.196,52343,5201,10699482,1,4096,0x0010
2020-04-21 16:34:09.926219,192.168.10.184,192.168.10.196,52343,5201,10700942,1,4096,0x0010
2020-04-21 16:34:09.926220,192.168.10.184,192.168.10.196,52343,5201,10702402,1,4096,0x0010
2020-04-21 16:34:09.926220,192.168.10.184,192.168.10.196,52343,5201,10703862,1,4096,0x0010
2020-04-21 16:34:09.926220,192.168.10.184,192.168.10.196,52343,5201,10705322,1,4096,0x0010
2020-04-21 16:34:09.926220,192.168.10.184,192.168.10.196,52343,5201,10706782,1,4096,0x0010
2020-04-21 16:34:09.926221,192.168.10.184,192.168.10.196,52343,5201,10708242,1,4096,0x0010
2020-04-21 16:34:09.926221,192.168.10.184,192.168.10.196,52343,5201,10709702,1,4096,0x0010
