Event,Timestamp,Ack Number,Sequence
Triple Duplicate,2020-04-21 16:34:02.203282,1,757778
Triple Duplicate,2020-04-21 16:34:02.203285,1,762158
Triple Duplicate,2020-04-21 16:34:02.203288,1,766538
Triple Duplicate,2020-04-21 16:34:02.208908,1,770918
Triple Duplicate,2020-04-21 16:34:02.208910,1,775298
Triple Duplicate,2020-04-21 16:34:02.315270,1,779678
Triple Duplicate,2020-04-21 16:34:02.315271,1,784058
Triple Duplicate,2020-04-21 16:34:02.315273,1,788438
Triple Duplicate,2020-04-21 16:34:02.315273,1,792818
Triple Duplicate,2020-04-21 16:34:02.315274,1,797198
Triple Duplicate,2020-04-21 16:34:02.315276,1,801578
Triple Duplicate,2020-04-21 16:34:02.316010,1,810338
Triple Duplicate,2020-04-21 16:34:02.316011,1,811798
Triple Duplicate,2020-04-21 16:34:02.316012,1,816178
Triple Duplicate,2020-04-21 16:34:02.316013,1,817638
Triple Duplicate,2020-04-21 16:34:02.319541,1,824938
Triple Duplicate,2020-04-21 16:34:02.319542,1,829318
Triple Duplicate,2020-04-21 16:34:02.319543,1,833698
Triple Duplicate,2020-04-21 16:34:02.319544,1,838078
Triple Duplicate,2020-04-21 16:34:02.319545,1,842458
Triple Duplicate,2020-04-21 16:34:02.319546,1,845378
Triple Duplicate,2020-04-21 16:34:02.319547,1,851218
Triple Duplicate,2020-04-21 16:34:02.320706,1,857058
Triple Duplicate,2020-04-21 16:34:02.320707,1,861438
Triple Duplicate,2020-04-21 16:34:02.320708,1,867278
Triple Duplicate,2020-04-21 16:34:02.320709,1,873118
Triple Duplicate,2020-04-21 16:34:02.320710,1,874578
Triple Duplicate,2020-04-21 16:34:02.320711,1,878958
Triple Duplicate,2020-04-21 16:34:02.325685,1,884798
Triple Duplicate,2020-04-21 16:34:02.325686,1,889178
Triple Duplicate,2020-04-21 16:34:02.325687,1,892098
Triple Duplicate,2020-04-21 16:34:02.325688,1,897938
Triple Duplicate,2020-04-21 16:34:02.325689,1,902318
Triple Duplicate,2020-04-21 16:34:02.325691,1,906698
Triple Duplicate,2020-04-21 16:34:02.325692,1,912538
Triple Duplicate,2020-04-21 16:34:02.326416,1,916918
Triple Duplicate,2020-04-21 16:34:02.326418,1,921298
Triple Duplicate,2020-04-21 16:34:02.326419,1,925678
Triple Duplicate,2020-04-21 16:34:02.326421,1,930058
Triple Duplicate,2020-04-21 16:34:02.326422,1,934438
Triple Duplicate,2020-04-21 16:34:02.327158,1,940278
Triple Duplicate,2020-04-21 16:34:02.327159,1,943198
Triple Duplicate,2020-04-21 16:34:02.433313,1,950498
Triple Duplicate,2020-04-21 16:34:02.433316,1,954878
