Timestamp,Event,cwnd,sstresh
2020-04-21 16:34:01.716038,Triple Duplicate,7,4
2020-04-21 16:34:01.716039,,8,4
2020-04-21 16:34:01.716040,,9,4
2020-04-21 16:34:01.718946,Retransmission,1,4
2020-04-21 16:34:01.719066,,2,4
2020-04-21 16:34:01.719067,,4,4
2020-04-21 16:34:01.719069,Triple Duplicate,5,2
2020-04-21 16:34:01.719069,,6,2
2020-04-21 16:34:01.719070,,7,2
2020-04-21 16:34:01.719071,Triple Duplicate,6,3
2020-04-21 16:34:01.719072,,7,3
2020-04-21 16:34:01.719073,,8,3
2020-04-21 16:34:01.824114,Retransmission,1,4
2020-04-21 16:34:01.824190,,2,4
2020-04-21 16:34:01.824190,Triple Duplicate,4,1
2020-04-21 16:34:01.824190,,5,1
2020-04-21 16:34:01.824191,,6,1
2020-04-21 16:34:01.824191,,7,1
2020-04-21 16:34:01.824192,,8,1
2020-04-21 16:34:01.824192,,9,1
2020-04-21 16:34:01.824192,Triple Duplicate,7,4
2020-04-21 16:34:01.824193,,8,4
2020-04-21 16:34:01.824193,,9,4
2020-04-21 16:34:01.824193,Triple Duplicate,7,4
2020-04-21 16:34:01.824861,Retransmission,1,3
2020-04-21 16:34:01.824902,,2,3
2020-04-21 16:34:01.824902,,4,3
2020-04-21 16:34:01.824903,Triple Duplicate,5,2
2020-04-21 16:34:01.824903,,6,2
2020-04-21 16:34:01.827533,Retransmission,1,3
2020-04-21 16:34:01.827587,,2,3
2020-04-21 16:34:01.827587,,4,3
2020-04-21 16:34:01.827588,Triple Duplicate,5,2
2020-04-21 16:34:01.827588,,6,2
2020-04-21 16:34:01.827588,,7,2
2020-04-21 16:34:01.827589,,8,2
2020-04-21 16:34:01.827589,,9,2
2020-04-21 16:34:01.827589,Triple Duplicate,7,4
2020-04-21 16:34:01.827590,,8,4
2020-04-21 16:34:01.827590,Triple Duplicate,7,4
2020-04-21 16:34:01.827591,,8,4
2020-04-21 16:34:01.827591,Triple Duplicate,7,4
2020-04-21 16:34:01.827592,,8,4
2020-04-21 16:34:01.827592,,9,4
2020-04-21 16:34:01.827592,Triple Duplicate,7,4
2020-04-21 16:34:01.827593,,8,4
2020-04-21 16:34:01.827593,,9,4
2020-04-21 16:34:01.827593,Triple Duplicate,7,4
2020-04-21 16:34:01.828222,Retransmission,1,3
2020-04-21 16:34:01.828260,,2,3
2020-04-21 16:34:01.828260,,4,3
2020-04-21 16:34:01.828261,Triple Duplicate,5,2
2020-04-21 16:34:01.828261,,6,2
2020-04-21 16:34:01.828262,Triple Duplicate,6,3
2020-04-21 16:34:01.828262,,7,3
2020-04-21 16:34:01.831857,Retransmission,1,3
2020-04-21 16:34:01.831911,,2,3
2020-04-21 16:34:01.831911,,4,3
2020-04-21 16:34:01.831912,Triple Duplicate,5,2
2020-04-21 16:34:01.831912,,6,2
2020-04-21 16:34:01.831912,,7,2
2020-04-21 16:34:01.831913,Triple Duplicate,6,3
2020-04-21 16:34:01.831913,,7,3
2020-04-21 16:34:01.831914,,8,3
2020-04-21 16:34:01.831914,Triple Duplicate,7,4
2020-04-21 16:34:01.831914,,8,4
2020-04-21 16:34:01.831915,,9,4
2020-04-21 16:34:01.831915,Triple Duplicate,7,4
2020-04-21 16:34:01.831916,,8,4
2020-04-21 16:34:01.832166,Retransmission,1,4
2020-04-21 16:34:01.832207,,2,4
2020-04-21 16:34:01.832208,,4,4
2020-04-21 16:34:01.832208,Triple Duplicate,5,2
2020-04-21 16:34:01.832209,,6,2
2020-04-21 16:34:01.832210,,7,2
2020-04-21 16:34:01.832210,Triple Duplicate,6,3
2020-04-21 16:34:01.832211,,7,3
2020-04-21 16:34:01.832211,,8,3
2020-04-21 16:34:01.832212,Triple Duplicate,7,4
2020-04-21 16:34:01.832212,,8,4
2020-04-21 16:34:01.938189,Retransmission,1,4
2020-04-21 16:34:01.938334,,2,4
2020-04-21 16:34:01.938335,,4,4
2020-04-21 16:34:01.938337,Triple Duplicate,5,2
2020-04-21 16:34:01.938337,,6,2
2020-04-21 16:34:01.938338,,7,2
2020-04-21 16:34:01.938340,Triple Duplicate,6,3
2020-04-21 16:34:01.938340,,7,3
2020-04-21 16:34:01.938341,,8,3
2020-04-21 16:34:01.938342,Triple Duplicate,7,4
2020-04-21 16:34:01.938343,,8,4
2020-04-21 16:34:01.938345,,9,4
2020-04-21 16:34:01.938346,Triple Duplicate,7,4
2020-04-21 16:34:01.938347,,8,4
2020-04-21 16:34:01.939455,Retransmission,1,4
2020-04-21 16:34:01.939574,,2,4
2020-04-21 16:34:01.939574,,4,4
2020-04-21 16:34:01.939575,Triple Duplicate,5,2
2020-04-21 16:34:01.939577,,6,2
2020-04-21 16:34:01.939577,,7,2
2020-04-21 16:34:01.939579,Triple Duplicate,6,3
2020-04-21 16:34:01.941894,Retransmission,1,3
2020-04-21 16:34:01.942058,,2,3
2020-04-21 16:34:01.942059,,4,3
2020-04-21 16:34:01.942060,Triple Duplicate,5,2
2020-04-21 16:34:01.942061,,6,2
2020-04-21 16:34:01.942062,,7,2
2020-04-21 16:34:01.942063,Triple Duplicate,6,3
2020-04-21 16:34:01.942064,,7,3
2020-04-21 16:34:01.942065,,8,3
2020-04-21 16:34:01.942066,Triple Duplicate,7,4
2020-04-21 16:34:01.942066,,8,4
2020-04-21 16:34:01.942068,,9,4
2020-04-21 16:34:01.942068,Triple Duplicate,7,4
2020-04-21 16:34:01.942069,,8,4
2020-04-21 16:34:01.942070,,9,4
2020-04-21 16:34:01.942071,Triple Duplicate,7,4
2020-04-21 16:34:01.942072,,8,4
2020-04-21 16:34:01.942073,,9,4
2020-04-21 16:34:01.942074,Triple Duplicate,7,4
2020-04-21 16:34:01.942075,,8,4
2020-04-21 16:34:01.942075,,9,4
2020-04-21 16:34:01.943282,Retransmission,1,4
2020-04-21 16:34:01.943411,,2,4
2020-04-21 16:34:01.943413,Triple Duplicate,4,1
2020-04-21 16:34:01.943413,,5,1
2020-04-21 16:34:01.943415,,6,1
2020-04-21 16:34:01.943415,,7,1
2020-04-21 16:34:01.943416,Triple Duplicate,6,3
2020-04-21 16:34:01.943417,,7,3
2020-04-21 16:34:01.943418,,8,3
2020-04-21 16:34:01.945530,Retransmission,1,4
2020-04-21 16:34:01.945727,,2,4
2020-04-21 16:34:01.945729,,4,4
2020-04-21 16:34:01.945730,Triple Duplicate,5,2
2020-04-21 16:34:01.945731,,6,2
2020-04-21 16:34:01.945732,,7,2
2020-04-21 16:34:01.945733,Triple Duplicate,6,3
2020-04-21 16:34:01.945734,,7,3
2020-04-21 16:34:01.945735,,8,3
2020-04-21 16:34:01.945735,Triple Duplicate,7,4
2020-04-21 16:34:01.945737,,8,4
2020-04-21 16:34:01.945737,,9,4
2020-04-21 16:34:01.945739,Triple Duplicate,7,4
2020-04-21 16:34:01.945739,,8,4
2020-04-21 16:34:01.945740,,9,4
2020-04-21 16:34:01.946825,Retransmission,1,4
2020-04-21 16:34:01.946963,,2,4
2020-04-21 16:34:01.946964,,4,4
2020-04-21 16:34:01.946964,Triple Duplicate,5,2
2020-04-21 16:34:01.946966,,6,2
2020-04-21 16:34:01.946966,,7,2
2020-04-21 16:34:01.946968,Triple Duplicate,6,3
2020-04-21 16:34:01.946968,,7,3
2020-04-21 16:34:01.946969,,8,3
2020-04-21 16:34:01.946970,Triple Duplicate,7,4
2020-04-21 16:34:01.946971,,8,4
2020-04-21 16:34:01.946971,,9,4
2020-04-21 16:34:01.946973,Triple Duplicate,7,4
2020-04-21 16:34:01.947705,Retransmission,1,3
2020-04-21 16:34:01.947846,,2,3
2020-04-21 16:34:01.947848,,4,3
2020-04-21 16:34:02.066236,Retransmission,1,2
2020-04-21 16:34:02.066388,,2,2
2020-04-21 16:34:02.066388,,3,2
2020-04-21 16:34:02.066389,Triple Duplicate,4,1
2020-04-21 16:34:02.066390,,5,1
2020-04-21 16:34:02.066390,,6,1
2020-04-21 16:34:02.066391,Triple Duplicate,6,3
2020-04-21 16:34:02.066392,,7,3
2020-04-21 16:34:02.066392,,8,3
2020-04-21 16:34:02.066393,Triple Duplicate,7,4
2020-04-21 16:34:02.066394,,8,4
2020-04-21 16:34:02.066394,,9,4
2020-04-21 16:34:02.066395,Triple Duplicate,7,4
2020-04-21 16:34:02.066396,,8,4
2020-04-21 16:34:02.066396,,9,4
2020-04-21 16:34:02.066397,Triple Duplicate,7,4
2020-04-21 16:34:02.067138,Retransmission,1,3
2020-04-21 16:34:02.067266,,2,3
2020-04-21 16:34:02.067266,,4,3
2020-04-21 16:34:02.067267,Triple Duplicate,5,2
2020-04-21 16:34:02.067268,,6,2
2020-04-21 16:34:02.067269,Triple Duplicate,6,3
2020-04-21 16:34:02.067269,,7,3
2020-04-21 16:34:02.067270,,8,3
2020-04-21 16:34:02.067271,,9,3
2020-04-21 16:34:02.067648,Retransmission,1,4
2020-04-21 16:34:02.067805,,2,4
2020-04-21 16:34:02.067806,,4,4
2020-04-21 16:34:02.067807,Triple Duplicate,5,2
2020-04-21 16:34:02.067808,,6,2
2020-04-21 16:34:02.067809,,7,2
2020-04-21 16:34:02.067810,Triple Duplicate,6,3
2020-04-21 16:34:02.067811,,7,3
2020-04-21 16:34:02.067811,,8,3
2020-04-21 16:34:02.067812,Triple Duplicate,7,4
2020-04-21 16:34:02.067813,,8,4
2020-04-21 16:34:02.067814,,9,4
2020-04-21 16:34:02.067814,Triple Duplicate,7,4
2020-04-21 16:34:02.067815,,8,4
2020-04-21 16:34:02.067816,,9,4
2020-04-21 16:34:02.067817,Triple Duplicate,7,4
2020-04-21 16:34:02.067818,,8,4
2020-04-21 16:34:02.067818,,9,4
2020-04-21 16:34:02.067819,Triple Duplicate,7,4
2020-04-21 16:34:02.067820,,8,4
2020-04-21 16:34:02.067821,,9,4
2020-04-21 16:34:02.067821,Triple Duplicate,7,4
2020-04-21 16:34:02.067822,,8,4
2020-04-21 16:34:02.069886,Retransmission,1,4
2020-04-21 16:34:02.070017,,2,4
2020-04-21 16:34:02.070018,,4,4
2020-04-21 16:34:02.070019,Triple Duplicate,5,2
2020-04-21 16:34:02.070020,,6,2
2020-04-21 16:34:02.070020,,7,2
2020-04-21 16:34:02.070021,Triple Duplicate,6,3
2020-04-21 16:34:02.070021,,7,3
2020-04-21 16:34:02.070022,,8,3
2020-04-21 16:34:02.070023,Triple Duplicate,7,4
2020-04-21 16:34:02.070023,,8,4
2020-04-21 16:34:02.070687,Retransmission,1,4
2020-04-21 16:34:02.070875,,2,4
2020-04-21 16:34:02.070876,,4,4
2020-04-21 16:34:02.070877,Triple Duplicate,5,2
2020-04-21 16:34:02.070877,,6,2
2020-04-21 16:34:02.070878,,7,2
2020-04-21 16:34:02.070879,,8,2
